fastId	X	Y
376	-5677.283	-2021.520
377	-5647.063	-2024.208
378	-5616.933	-2027.612
379	-5617.225	-1875.905
380	-5560.172	-1880.979
381	-5588.698	-1878.441
382	-5531.604	-1882.829
383	-5959.363	-1843.603
384	-6133.358	-1829.550
385	-6162.089	-1827.953
386	-6534.944	-1794.857
387	-6563.624	-1792.314
388	-6730.762	-1778.413
389	-6724.039	-1681.352
390	-6694.692	-1683.950
391	-6665.343	-1686.549
392	-6635.996	-1689.147
393	-6606.649	-1691.746
394	-6571.432	-1694.865
395	-6184.038	-1729.221
396	-6148.822	-1732.348
397	-6114.175	-1739.037
398	-5576.600	-1783.202
399	-5540.413	-1786.419
400	-5504.552	-1791.890
401	-5468.153	-1749.874
402	-5502.312	-1747.634
403	-5536.426	-1744.602
404	-5911.571	-1710.294
405	-6094.500	-1694.174
406	-6130.823	-1691.765
407	-6663.075	-1643.562
408	-6688.553	-1641.306
409	-6714.033	-1639.049
410	-6719.568	-1406.384
411	-6683.419	-1409.581
412	-6647.269	-1412.778
413	-6105.015	-1460.799
414	-6068.865	-1464.006
415	-6033.123	-1469.923
416	-5438.381	-1521.525
417	-5403.777	-1525.111
418	-5370.286	-1534.311
419	-5373.381	-1480.837
420	-5408.575	-1477.821
421	-5443.769	-1474.804
422	-6011.390	-1425.067
423	-6047.117	-1422.744
424	-6082.796	-1419.579
425	-6652.543	-1369.120
426	-6686.706	-1366.099
427	-6720.870	-1363.080
428	-6705.066	-1273.281
429	-6669.943	-1276.396
430	-6634.819	-1279.512
431	-6100.146	-1326.850
432	-6064.018	-1330.052
433	-6027.890	-1333.253
434	-5449.510	-1384.571
435	-5413.274	-1387.788
436	-5377.039	-1391.005
437	-5373.055	-1348.160
438	-5407.839	-1345.072
439	-5442.621	-1341.986
440	-5969.022	-1294.265
441	-6003.375	-1292.234
442	-6037.677	-1289.193
443	-6625.027	-1238.200
444	-6660.285	-1235.075
445	-6695.542	-1231.949
446	-6703.388	-1139.099
447	-6667.539	-1142.267
448	-6631.691	-1145.434
449	-6093.948	-1192.977
450	-6058.098	-1196.149
451	-6022.247	-1199.323
452	-5379.833	-1256.274
453	-5344.222	-1259.433
454	-5348.794	-1215.825
455	-5385.084	-1212.606
456	-5963.634	-1161.329
457	-5998.532	-1158.241
458	-6033.428	-1155.154
459	-6629.302	-1103.492
460	-6663.092	-1100.507
461	-6696.884	-1097.524
462	-6682.717	-1006.509
463	-6647.544	-1009.613
464	-6612.372	-1012.719
465	-6084.787	-1059.325
466	-6049.614	-1062.435
467	-6014.441	-1065.545
468	-5380.215	-1121.707
469	-5345.238	-1124.810
470	-5310.263	-1127.911
471	-5314.929	-1084.299
472	-5350.632	-1081.134
473	-5386.333	-1077.970
474	-5961.044	-1028.110
475	-5997.047	-1024.930
476	-6033.050	-1021.749
477	-6605.447	-971.208
478	-6640.986	-968.072
479	-6676.525	-964.937
480	-8070.416	-1560.619
481	-8041.121	-1563.265
482	-8011.824	-1565.914
483	-7340.789	-1626.559
484	-7311.449	-1629.211
485	-7282.108	-1631.864
486	-7252.768	-1634.516
487	-7254.608	-1591.324
